date,limit_up,close,prev_settlement,open_interest,volume,limit_down,high,low,prev_close,open,total_turnover,settlement,dominant_id
2010-01-04,4392.0,4262.0,4231.0,284296.0,321838.0,4070.0,4295.0,4254.0,4026.0,4285.0,13095756600.0,4274.0,A1009
2010-01-05,4436.0,4271.0,4274.0,283384.0,253640.0,4112.0,4287.0,4265.0,4057.0,4272.0,10324152000.0,4275.0,A1009
2010-01-06,4437.0,4359.0,4275.0,352830.0,860812.0,4113.0,4399.0,4262.0,4066.0,4271.0,35642430200.0,4345.0,A1009
2010-01-07,4510.0,4249.0,4345.0,297236.0,705704.0,4180.0,4393.0,4180.0,4154.0,4370.0,28863794600.0,4295.0,A1009
2010-01-08,4458.0,4186.0,4295.0,270074.0,526594.0,4132.0,4255.0,4152.0,4044.0,4245.0,21064926300.0,4205.0,A1009
2010-01-11,4365.0,4236.0,4205.0,270738.0,316116.0,4045.0,4255.0,4217.0,3981.0,4217.0,12757455100.0,4240.0,A1009
2010-01-12,4401.0,4209.0,4240.0,271068.0,447848.0,4079.0,4234.0,4186.0,4031.0,4205.0,17933786900.0,4209.0,A1009
2010-01-13,4369.0,4114.0,4209.0,260966.0,300960.0,4049.0,4143.0,4101.0,4004.0,4110.0,11789933400.0,4122.0,A1009
2010-01-14,4278.0,4124.0,4122.0,259500.0,190364.0,3966.0,4148.0,4123.0,3909.0,4148.0,7483760800.0,4136.0,A1009
2010-01-15,4293.0,4120.0,4136.0,265124.0,313576.0,3979.0,4154.0,4107.0,3919.0,4110.0,12320233800.0,4133.0,A1009
2010-01-18,4290.0,4114.0,4133.0,269332.0,249986.0,3976.0,4130.0,4095.0,3915.0,4113.0,9769774500.0,4113.0,A1009
2010-01-19,4269.0,4124.0,4113.0,274202.0,167968.0,3957.0,4140.0,4115.0,3909.0,4140.0,6587240300.0,4126.0,A1009
2010-01-20,4282.0,4066.0,4126.0,290088.0,335400.0,3970.0,4134.0,4063.0,3919.0,4115.0,13017966600.0,4086.0,A1009
2010-01-21,4241.0,4106.0,4086.0,280512.0,271388.0,3931.0,4108.0,4057.0,3861.0,4065.0,10524803900.0,4083.0,A1009
2010-01-22,4238.0,4094.0,4083.0,270304.0,280556.0,3928.0,4098.0,4042.0,3901.0,4092.0,10864130300.0,4077.0,A1009
2010-01-25,4231.0,4116.0,4077.0,277594.0,337600.0,3923.0,4131.0,4080.0,3889.0,4083.0,13190981800.0,4112.0,A1009
2010-01-26,4268.0,4090.0,4112.0,278582.0,470020.0,3956.0,4135.0,4088.0,3911.0,4115.0,18349985000.0,4109.0,A1009
2010-01-27,4265.0,4127.0,4109.0,296746.0,618382.0,3953.0,4143.0,4105.0,3885.0,4110.0,24246125800.0,4125.0,A1009
2010-01-28,4281.0,4068.0,4125.0,277646.0,401078.0,3969.0,4105.0,4047.0,3922.0,4105.0,15505414300.0,4070.0,A1009
2010-01-29,4224.0,4058.0,4070.0,264630.0,260046.0,3916.0,4089.0,4055.0,3863.0,4075.0,10060957700.0,4073.0,A1009
2010-02-01,4227.0,3973.0,4073.0,282970.0,404240.0,3919.0,4054.0,3965.0,3853.0,4044.0,15340953300.0,4000.0,A1009
2010-02-02,4151.0,3940.0,4000.0,279460.0,374218.0,3849.0,4003.0,3933.0,3768.0,3990.0,14053904800.0,3960.0,A1009
2010-02-03,4110.0,3987.0,3960.0,271958.0,291838.0,3810.0,3990.0,3949.0,3735.0,3976.0,10996131200.0,3972.0,A1009
2010-02-04,4122.0,3960.0,3972.0,274098.0,250890.0,3822.0,3965.0,3925.0,3782.0,3945.0,9389059900.0,3947.0,A1009
2010-02-05,4096.0,3990.0,3947.0,280652.0,539114.0,3798.0,3998.0,3933.0,3755.0,3945.0,20364931000.0,3982.0,A1009
2010-02-08,4133.0,4017.0,3982.0,275382.0,224846.0,3831.0,4030.0,4006.0,3785.0,4015.0,8571339400.0,4017.0,A1009
2010-02-09,4169.0,4014.0,4017.0,271300.0,141526.0,3865.0,4024.0,4001.0,3812.0,4017.0,5388876500.0,4012.0,A1009
2010-02-10,4164.0,3974.0,4012.0,273654.0,302080.0,3860.0,4020.0,3953.0,3809.0,4012.0,11415884600.0,3984.0,A1009
2010-02-11,4135.0,4003.0,3984.0,251010.0,243738.0,3833.0,4033.0,3989.0,3769.0,4012.0,9280054500.0,4012.0,A1009
