date,limit_up,close,prev_settlement,open_interest,volume,limit_down,high,low,prev_close,open,total_turnover,settlement,dominant_id
2017-12-22,8580.0,8117.0,7800.0,21646.0,735694.0,7020.0,8228.0,7915.0,7800.0,7920.0,59856063840.0,8136.0,AP1805
2017-12-25,8543.0,8095.0,8136.0,25296.0,358024.0,7729.0,8157.0,8060.0,8117.0,8118.0,29014264960.0,8104.0,AP1805
2017-12-26,8510.0,8090.0,8104.0,21018.0,146420.0,7698.0,8144.0,8079.0,8095.0,8105.0,11867341000.0,8105.0,AP1805
2017-12-27,8511.0,8086.0,8105.0,17524.0,67888.0,7699.0,8109.0,8067.0,8090.0,8094.0,5490102560.0,8087.0,AP1805
2017-12-28,8492.0,8104.0,8087.0,15558.0,71176.0,7682.0,8145.0,8088.0,8086.0,8092.0,5775932400.0,8115.0,AP1805
2017-12-29,8521.0,8088.0,8115.0,13754.0,25762.0,7709.0,8122.0,8078.0,8104.0,8106.0,2085433900.0,8095.0,AP1805
2018-01-02,8500.0,8101.0,8095.0,12360.0,16426.0,7690.0,8106.0,8086.0,8088.0,8088.0,1330177480.0,8098.0,AP1805
2018-01-03,8503.0,8094.0,8098.0,11852.0,20154.0,7693.0,8122.0,8088.0,8101.0,8103.0,1632474000.0,8100.0,AP1805
2018-01-04,8505.0,8092.0,8100.0,11252.0,16652.0,7695.0,8114.0,8076.0,8094.0,8098.0,1347812880.0,8094.0,AP1805
2018-01-05,8499.0,8099.0,8094.0,10090.0,9538.0,7689.0,8111.0,8082.0,8092.0,8098.0,772291860.0,8097.0,AP1805
2018-01-08,8502.0,8084.0,8097.0,9794.0,6932.0,7692.0,8103.0,8080.0,8099.0,8103.0,560590840.0,8087.0,AP1805
2018-01-09,8492.0,7966.0,8087.0,15934.0,71128.0,7682.0,8090.0,7933.0,8084.0,8086.0,5681704640.0,7988.0,AP1805
2018-01-10,8388.0,7938.0,7988.0,16004.0,30192.0,7588.0,7980.0,7933.0,7966.0,7956.0,2402679360.0,7958.0,AP1805
2018-01-11,8356.0,7865.0,7958.0,20238.0,43240.0,7560.0,7953.0,7854.0,7938.0,7931.0,3415095200.0,7898.0,AP1805
2018-01-12,8293.0,7787.0,7898.0,24070.0,38852.0,7503.0,7855.0,7784.0,7865.0,7821.0,3037060840.0,7817.0,AP1805
2018-01-15,8208.0,7777.0,7817.0,25024.0,26164.0,7426.0,7795.0,7758.0,7787.0,7763.0,2034512640.0,7776.0,AP1805
2018-01-16,8165.0,7723.0,7776.0,28730.0,44712.0,7387.0,7815.0,7711.0,7777.0,7764.0,3474569520.0,7771.0,AP1805
2018-01-17,8160.0,7670.0,7771.0,31314.0,88156.0,7382.0,7744.0,7658.0,7723.0,7736.0,6778314840.0,7689.0,AP1805
2018-01-18,8074.0,7671.0,7689.0,32514.0,48086.0,7304.0,7708.0,7666.0,7670.0,7668.0,3696370820.0,7687.0,AP1805
2018-01-19,8072.0,7657.0,7687.0,31622.0,57942.0,7302.0,7701.0,7641.0,7671.0,7670.0,4445889660.0,7673.0,AP1805
2018-01-22,8057.0,7697.0,7673.0,30488.0,41406.0,7289.0,7708.0,7667.0,7657.0,7682.0,3182465160.0,7686.0,AP1805
2018-01-23,8071.0,7699.0,7686.0,28442.0,54140.0,7301.0,7740.0,7681.0,7697.0,7714.0,4174735400.0,7711.0,AP1805
2018-01-24,8097.0,7677.0,7711.0,28900.0,27376.0,7325.0,7708.0,7664.0,7699.0,7706.0,2104393120.0,7687.0,AP1805
2018-01-25,8072.0,7661.0,7687.0,29692.0,27324.0,7302.0,7701.0,7657.0,7677.0,7687.0,2098209960.0,7679.0,AP1805
2018-01-26,8063.0,7683.0,7679.0,27502.0,30254.0,7295.0,7699.0,7660.0,7661.0,7668.0,2324414820.0,7683.0,AP1805
2018-01-29,8068.0,7560.0,7683.0,32460.0,56558.0,7298.0,7697.0,7554.0,7683.0,7691.0,4297276840.0,7598.0,AP1805
2018-01-30,7978.0,7512.0,7598.0,36340.0,50684.0,7218.0,7568.0,7510.0,7560.0,7551.0,3821573600.0,7540.0,AP1805
2018-01-31,7917.0,7487.0,7540.0,36572.0,88814.0,7163.0,7543.0,7461.0,7512.0,7510.0,6661050000.0,7500.0,AP1805
2018-02-01,7875.0,7434.0,7500.0,38134.0,63248.0,7125.0,7515.0,7434.0,7487.0,7492.0,4734112800.0,7485.0,AP1805
2018-02-02,7860.0,7372.0,7485.0,42932.0,101222.0,7110.0,7462.0,7367.0,7434.0,7448.0,7510672400.0,7420.0,AP1805
2018-02-05,7791.0,7334.0,7420.0,48282.0,105376.0,7049.0,7382.0,7321.0,7372.0,7360.0,7746189760.0,7351.0,AP1805
2018-02-06,7719.0,7278.0,7351.0,51858.0,114430.0,6983.0,7372.0,7275.0,7334.0,7329.0,8379708900.0,7323.0,AP1805
2018-02-07,7690.0,6956.0,7323.0,70608.0,295794.0,6956.0,7293.0,6956.0,7278.0,7278.0,21039827220.0,7113.0,AP1805
2018-02-08,7683.0,6754.0,7113.0,52822.0,430434.0,6543.0,6890.0,6662.0,6956.0,6890.0,29161903500.0,6775.0,AP1805
2018-02-09,7114.0,6745.0,6775.0,55844.0,268308.0,6436.0,6828.0,6697.0,6754.0,6762.0,18134937720.0,6759.0,AP1805
2018-02-12,7097.0,6803.0,6759.0,53656.0,272840.0,6421.0,6941.0,6731.0,6745.0,6751.0,18591317600.0,6814.0,AP1805
2018-02-13,7155.0,6765.0,6814.0,53304.0,196004.0,6473.0,6848.0,6740.0,6803.0,6805.0,13287111160.0,6779.0,AP1805
2018-02-14,7254.0,6621.0,6779.0,52600.0,235156.0,6304.0,6821.0,6553.0,6765.0,6796.0,15734287960.0,6691.0,AP1805
2018-02-22,7160.0,6481.0,6691.0,71708.0,229594.0,6222.0,6623.0,6480.0,6621.0,6591.0,14969528800.0,6520.0,AP1805
2018-02-23,6846.0,6846.0,6520.0,71108.0,509036.0,6194.0,6846.0,6471.0,6481.0,6480.0,33876345800.0,6655.0,AP1805
2018-02-26,7188.0,6956.0,6655.0,54924.0,601232.0,6122.0,7064.0,6883.0,6846.0,6955.0,41845747200.0,6960.0,AP1805
2018-02-27,7308.0,7083.0,6960.0,64128.0,932914.0,6612.0,7150.0,6889.0,6956.0,6945.0,65453246240.0,7016.0,AP1805
2018-02-28,7367.0,7098.0,7016.0,66560.0,878110.0,6665.0,7124.0,7036.0,7083.0,7082.0,62187750200.0,7082.0,AP1805
2018-03-01,7437.0,7131.0,7082.0,68836.0,801364.0,6727.0,7188.0,7050.0,7098.0,7090.0,57121225920.0,7128.0,AP1805
2018-03-02,7485.0,7016.0,7128.0,62484.0,826852.0,6771.0,7168.0,6976.0,7131.0,7115.0,58698223480.0,7099.0,AP1805
2018-03-05,7454.0,7026.0,7099.0,61168.0,955606.0,6744.0,7052.0,6944.0,7016.0,7005.0,66873307880.0,6998.0,AP1805
2018-03-06,7348.0,7218.0,6998.0,76480.0,1667622.0,6648.0,7310.0,7018.0,7026.0,7030.0,119952050460.0,7193.0,AP1805
2018-03-07,7553.0,7185.0,7193.0,68264.0,918752.0,6833.0,7238.0,7149.0,7218.0,7216.0,66131768960.0,7198.0,AP1805
2018-03-08,7558.0,7132.0,7198.0,62722.0,837036.0,6838.0,7200.0,7083.0,7185.0,7182.0,59756000040.0,7139.0,AP1805
2018-03-09,7496.0,7212.0,7139.0,63194.0,1062380.0,6782.0,7249.0,7114.0,7132.0,7132.0,76395745800.0,7191.0,AP1805
2018-03-12,7551.0,7030.0,7191.0,65806.0,1298964.0,6831.0,7313.0,7004.0,7212.0,7251.0,92005620120.0,7083.0,AP1805
2018-03-13,7438.0,7042.0,7083.0,59850.0,926130.0,6728.0,7085.0,6982.0,7030.0,7029.0,65116200300.0,7031.0,AP1805
2018-03-14,7383.0,7023.0,7031.0,59196.0,502176.0,6679.0,7068.0,6993.0,7042.0,7036.0,35287907520.0,7027.0,AP1805
2018-03-15,7379.0,6923.0,7027.0,73462.0,586156.0,6675.0,7004.0,6892.0,7023.0,7004.0,40620610800.0,6930.0,AP1805
2018-03-16,7277.0,7048.0,6930.0,72430.0,611516.0,6583.0,7052.0,6906.0,6923.0,6918.0,42763313880.0,6993.0,AP1805
2018-03-19,7343.0,7030.0,6993.0,64384.0,455230.0,6643.0,7082.0,6976.0,7048.0,7045.0,32011773600.0,7032.0,AP1805
2018-03-20,7384.0,7000.0,7032.0,58194.0,431310.0,6680.0,7029.0,6945.0,7030.0,7015.0,30161508300.0,6993.0,AP1805
2018-03-21,7343.0,7075.0,6993.0,60412.0,607318.0,6643.0,7145.0,7006.0,7000.0,7012.0,43070992560.0,7092.0,AP1805
2018-03-22,7447.0,7217.0,7092.0,56210.0,509216.0,6737.0,7394.0,7198.0,7075.0,7394.0,36928344320.0,7252.0,AP1805
2018-03-23,7615.0,7345.0,7252.0,61242.0,681390.0,6889.0,7368.0,7145.0,7217.0,7190.0,49618819800.0,7282.0,AP1805
2018-03-26,7647.0,7399.0,7282.0,65986.0,402936.0,6917.0,7421.0,7307.0,7345.0,7370.0,29603707920.0,7347.0,AP1805
2018-03-27,7715.0,7303.0,7347.0,57648.0,545684.0,6979.0,7420.0,7261.0,7399.0,7412.0,39933155120.0,7318.0,AP1805
2018-03-28,7684.0,7332.0,7318.0,59120.0,544064.0,6952.0,7357.0,7253.0,7303.0,7306.0,39771078400.0,7310.0,AP1805
2018-03-29,7676.0,7224.0,7310.0,53998.0,544174.0,6944.0,7339.0,7190.0,7332.0,7336.0,39441731520.0,7248.0,AP1805
2018-03-30,7611.0,7270.0,7248.0,51520.0,501562.0,6885.0,7293.0,7174.0,7224.0,7240.0,36288010700.0,7235.0,AP1805
2018-04-02,7597.0,7419.0,7235.0,73706.0,635948.0,6873.0,7445.0,7237.0,7270.0,7302.0,46971119280.0,7386.0,AP1805
